id,user_id,hotel_id,review_date,review_body,date_of_stay,room_tip,trip_type,overall_rating,value_rating,location_rating,service_rating,rooms_rating,cleanliness_rating,sleep_quality_rating,review_helpful_votes
0,709,0,Tue Mar 18 2014 07:36:46 GMT-0700 (Pacific Daylight Time),I liked the amenities in the workout room. The location was noisy. I would very likely stay here again.,Sat Aug 17 2013 02:08:01 GMT-0700 (Pacific Daylight Time),Do not forget to ask for local restaurant recommendations.,Solo,2,1,2,2,1,5,4,11
1,49,0,Wed Dec 25 2013 00:51:09 GMT-0800 (Pacific Standard Time),I was happy with the assistance in the workout room. The location was vibrant. I would definitely stay here again.,Fri Feb 25 2011 02:17:26 GMT-0800 (Pacific Standard Time),Do not forget to try the snacks.,Business,1,4,1,3,4,4,3,25
2,95,0,Sat Aug 11 2018 12:12:17 GMT-0700 (Pacific Daylight Time),I was surprised by the appliances in the workout room. The location was okay. I would certainly stay here again.,Tue May 01 2018 05:01:58 GMT-0700 (Pacific Daylight Time),I would advise everyone to hang out in the lobby.,Families,3,1,5,4,3,1,2,29
3,93,0,Mon Jun 22 2020 08:52:45 GMT-0700 (Pacific Daylight Time),I was surprised by the assistance in the bathroom. The location was okay. I would very likely stay here again.,Fri Feb 05 2016 15:33:26 GMT-0800 (Pacific Standard Time),I would advise everyone to try the snacks.,Couples,5,2,4,3,5,1,3,5
4,34,0,Wed Jan 25 2017 05:05:48 GMT-0800 (Pacific Standard Time),I hated the refreshments in the workout room. The location was perfect. I would definitely stay here again.,Mon Oct 12 2015 15:35:22 GMT-0700 (Pacific Daylight Time),I would advise everyone to try the snacks.,Families,4,4,5,5,1,2,4,14
5,564,0,Thu Apr 30 2020 20:03:31 GMT-0700 (Pacific Daylight Time),I liked the appliances in the garage. The location was noisy. I would certainly stay here again.,Sun Jul 15 2018 21:43:42 GMT-0700 (Pacific Daylight Time),Do not forget to request a tour of the facilities.,Families,2,4,4,4,3,5,4,13
6,484,0,Tue Jun 02 2020 15:30:18 GMT-0700 (Pacific Daylight Time),I was angered by the appliances in the outdoor area. The location was relaxing. I would certainly stay here again.,Sat Jan 28 2017 22:13:01 GMT-0800 (Pacific Standard Time),Never forget to use the mini bar.,Business,3,1,5,2,2,4,2,25
7,341,0,Wed Mar 27 2019 08:57:01 GMT-0700 (Pacific Daylight Time),I was happy with the chairs in the workout room. The location was fun. I would definitely stay here again.,Mon Sep 19 2016 08:35:28 GMT-0700 (Pacific Daylight Time),Do not forget to check out the bar.,Business,5,5,3,5,5,4,4,11
8,820,0,Fri Oct 05 2018 08:16:44 GMT-0700 (Pacific Daylight Time),I was taken aback by the assistance in the garage. The location was vibrant. I would not stay here again.,Mon Feb 16 2015 00:32:28 GMT-0800 (Pacific Standard Time),I would advise everyone to hang out in the lobby.,Business,4,5,3,3,1,3,1,17
9,89,0,Thu Jul 23 2015 12:05:42 GMT-0700 (Pacific Daylight Time),I loved the cupboards in the garage. The location was horrible. I would probably not stay here again.,Tue Aug 12 2014 23:29:44 GMT-0700 (Pacific Daylight Time),You might want to use the mini bar.,Business,5,3,4,5,1,3,1,4
10,172,1,Sun Feb 23 2020 19:02:29 GMT-0800 (Pacific Standard Time),I was taken aback by the cupboards in the garage. The location was pleasant. I would probably not stay here again.,Sun Jun 30 2019 01:23:50 GMT-0700 (Pacific Daylight Time),Always hang out in the lobby.,Business,1,2,3,3,4,2,5,30
11,53,1,Fri Jun 26 2020 00:46:39 GMT-0700 (Pacific Daylight Time),I loved the appliances in the lobby. The location was pleasant. I would probably not stay here again.,Fri Feb 09 2018 00:00:26 GMT-0800 (Pacific Standard Time),Make sure to check out the bar.,Business,5,4,4,2,4,5,3,0
12,618,1,Tue Mar 24 2020 02:46:06 GMT-0700 (Pacific Daylight Time),I was surprised by the appliances in the outdoor area. The location was pleasant. I would potentially stay here again.,Sat Nov 24 2018 21:45:44 GMT-0800 (Pacific Standard Time),Always check out the bar.,Families,2,4,3,1,1,2,5,24
13,587,1,Sun Jul 21 2019 00:59:51 GMT-0700 (Pacific Daylight Time),I loved the amenities in the room. The location was horrible. I would not stay here again.,Sat Jan 20 2018 06:25:28 GMT-0800 (Pacific Standard Time),You might want to try the snacks.,Couples,4,1,2,4,4,4,2,2
14,964,1,Tue May 23 2017 19:23:49 GMT-0700 (Pacific Daylight Time),I was surprised by the cupboards in the garage. The location was vibrant. I would potentially stay here again.,Sun May 30 2010 19:48:59 GMT-0700 (Pacific Daylight Time),Do not ask for local restaurant recommendations.,Business,5,5,5,4,2,1,1,3
15,215,1,Tue Aug 21 2018 11:24:27 GMT-0700 (Pacific Daylight Time),I was confused by the refreshments in the garage. The location was okay. I would not stay here again.,Tue Jan 30 2018 08:24:46 GMT-0800 (Pacific Standard Time),It is always recommended that you ask for local restaurant recommendations.,Solo,4,4,1,1,1,3,4,4
16,344,1,Fri Feb 07 2020 15:59:11 GMT-0800 (Pacific Standard Time),I was angered by the chairs in the garage. The location was perfect. I would definitely stay here again.,Sun Apr 08 2018 07:03:02 GMT-0700 (Pacific Daylight Time),Do not forget to eat at the hotel restaurant.,Business,3,1,4,4,4,3,1,24
17,958,1,Mon Apr 22 2013 13:00:00 GMT-0700 (Pacific Daylight Time),I hated the refreshments in the outdoor area. The location was nothing special. I would likely stay here again.,Mon Oct 31 2011 18:51:17 GMT-0700 (Pacific Daylight Time),I would advise everyone to eat at the hotel restaurant.,Families,3,1,1,3,4,2,5,8
18,245,1,Fri Oct 25 2019 18:23:34 GMT-0700 (Pacific Daylight Time),I loved the refreshments in the garage. The location was fun. I would not stay here again.,Sat Sep 28 2019 01:06:09 GMT-0700 (Pacific Daylight Time),You might want to check out the bar.,Solo,1,5,2,1,4,5,4,8
19,134,1,Sat Dec 26 2015 22:22:24 GMT-0800 (Pacific Standard Time),I was happy with the appliances in the bathroom. The location was vibrant. I would very likely stay here again.,Wed Jan 29 2014 06:08:49 GMT-0800 (Pacific Standard Time),Never forget to ask for local restaurant recommendations.,Solo,2,2,4,5,3,3,3,24
20,177,2,Tue Jul 31 2012 01:34:05 GMT-0700 (Pacific Daylight Time),I was delighted by the chairs in the workout room. The location was vibrant. I would definitely stay here again.,Fri Oct 28 2011 00:46:02 GMT-0700 (Pacific Daylight Time),Make sure to use the mini bar.,Friends,5,2,3,3,2,2,1,21
21,49,2,Sun Jul 14 2013 20:08:44 GMT-0700 (Pacific Daylight Time),I was happy with the cupboards in the workout room. The location was horrible. I would likely stay here again.,Thu Apr 15 2010 08:12:00 GMT-0700 (Pacific Daylight Time),Never try the snacks.,Couples,4,1,2,5,2,4,4,1
22,182,2,Sat Feb 02 2013 01:29:20 GMT-0800 (Pacific Standard Time),I was surprised by the cupboards in the room. The location was relaxing. I would probably not stay here again.,Fri Feb 25 2011 10:29:11 GMT-0800 (Pacific Standard Time),I would advise everyone to ask for local restaurant recommendations.,Business,1,4,4,2,2,1,2,26
23,374,2,Thu Aug 11 2016 08:24:17 GMT-0700 (Pacific Daylight Time),I was happy with the chairs in the bathroom. The location was vibrant. I would probably not stay here again.,Sun Dec 19 2010 06:02:06 GMT-0800 (Pacific Standard Time),Never forget to tip the maids.,Couples,3,3,2,1,5,2,2,10
24,629,2,Mon Aug 21 2017 20:32:46 GMT-0700 (Pacific Daylight Time),I was angered by the refreshments in the bathroom. The location was okay. I would very likely stay here again.,Tue Jul 29 2014 11:49:12 GMT-0700 (Pacific Daylight Time),Do not eat at the hotel restaurant.,Couples,3,1,1,2,2,1,1,25
25,904,2,Tue May 28 2019 19:08:04 GMT-0700 (Pacific Daylight Time),I hated the refreshments in the bathroom. The location was perfect. I would definitely stay here again.,Thu Oct 25 2012 04:59:54 GMT-0700 (Pacific Daylight Time),You might want to go swimming.,Business,5,2,1,1,1,4,2,24
26,220,2,Tue Jul 21 2015 18:47:01 GMT-0700 (Pacific Daylight Time),I was surprised by the assistance in the workout room. The location was relaxing. I would potentially stay here again.,Sat Feb 25 2012 23:58:05 GMT-0800 (Pacific Standard Time),It is always recommended that you eat at the hotel restaurant.,Business,1,4,2,4,5,3,2,24
27,889,2,Mon Feb 03 2020 12:54:05 GMT-0800 (Pacific Standard Time),I loved the cupboards in the bathroom. The location was horrible. I would likely stay here again.,Sun Dec 30 2018 23:57:47 GMT-0800 (Pacific Standard Time),It is always recommended that you eat at the hotel restaurant.,Couples,1,2,1,1,5,5,1,29
28,330,2,Thu Mar 30 2017 23:26:51 GMT-0700 (Pacific Daylight Time),I was angered by the chairs in the outdoor area. The location was pleasant. I would definitely stay here again.,Sat Jul 11 2015 19:36:09 GMT-0700 (Pacific Daylight Time),Make sure to eat at the hotel restaurant.,Friends,5,3,3,2,4,1,3,18
29,647,2,Tue Jun 28 2016 18:53:45 GMT-0700 (Pacific Daylight Time),I loved the cupboards in the bathroom. The location was perfect. I would not stay here again.,Thu Feb 19 2015 19:40:42 GMT-0800 (Pacific Standard Time),Always eat at the hotel restaurant.,Couples,5,3,1,1,3,5,5,30
30,267,3,Wed Jun 03 2020 22:50:42 GMT-0700 (Pacific Daylight Time),I liked the chairs in the workout room. The location was noisy. I would very likely stay here again.,Thu Nov 24 2016 15:02:11 GMT-0800 (Pacific Standard Time),Never forget to check out the bar.,Friends,2,3,4,5,4,5,3,25
31,357,3,Fri May 26 2017 09:16:23 GMT-0700 (Pacific Daylight Time),I was taken aback by the assistance in the room. The location was noisy. I would certainly stay here again.,Sun Aug 11 2013 19:51:48 GMT-0700 (Pacific Daylight Time),Never use the mini bar.,Solo,4,4,1,4,5,4,2,21
32,168,3,Sun Aug 20 2017 14:54:15 GMT-0700 (Pacific Daylight Time),I was angered by the refreshments in the room. The location was perfect. I would potentially stay here again.,Sun Jun 16 2013 06:58:08 GMT-0700 (Pacific Daylight Time),I would advise everyone to request a tour of the facilities.,Solo,5,5,5,5,4,1,4,15
33,959,3,Thu Jun 21 2018 13:35:47 GMT-0700 (Pacific Daylight Time),I loved the refreshments in the room. The location was perfect. I would definitely stay here again.,Sat May 14 2016 21:05:46 GMT-0700 (Pacific Daylight Time),Do not forget to use the mini bar.,Couples,3,1,4,3,2,3,1,4
